Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Gligar (Shadow),100,207,ground,flying,108,146.2,130,2052969,30.5,1493,Wing Attack,Aerial Ace,Dig,5,7,5,75000
Swampert (Shadow),99.6,260,water,ground,123,108.6,136,1815930,18.5,1498,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Swampert,98.4,260,water,ground,123,108.6,136,1815930,18.5,1498,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Cresselia,96.9,488,psychic,none,93.2,158.3,163,2404853,20,1497,Psycho Cut,Grass Knot,Future Sight,6,8,20,100000
Quagsire (Shadow),96.8,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Mud Bomb,Stone Edge,5,7,3,50000
Pelipper,96.6,279,water,flying,123.3,128.7,114,1809463,26,1496,Wing Attack,Weather Ball (Water),Hurricane,5,9,3,50000
Mantine,96.3,226,water,flying,106.2,163.1,122,2113576,27,1499,Wing Attack,Aerial Ace,Ice Beam,5,7,5,75000
Serperior,96,497,grass,none,110.2,143.6,128,2025814,25,1499,Vine Whip,Frenzy Plant,Aerial Ace,6,5,3,10000
Medicham,95.7,308,fighting,psychic,106.9,139.5,141,2102958,49,1500,Counter,Ice Punch,Dynamic Punch,6,8,3,50000
Gligar,95.1,207,ground,flying,108,146.2,130,2052969,30.5,1493,Wing Attack,Aerial Ace,Dig,5,7,5,75000
Guzzlord,95.1,799,dark,dragon,114.7,63.9,265,1942949,20,1493,Dragon Tail,Dragon Claw,Crunch,4,5,20,100000
Lickitung,95.1,108,normal,none,98.3,126.9,183,2282878,50,1498,Lick,Body Slam,Power Whip,12,17,3,50000
Stunfisk (Galarian),95.1,618,ground,steel,101.8,127.9,169,2200089,26.5,1497,Mud Shot,Rock Slide,Earthquake,5,8,5,75000
Vigoroth,95.1,288,normal,none,117.7,112.7,144,1909363,28.5,1499,Counter,Body Slam,Rock Slide,5,7,5,75000
Whiscash (Shadow),95,340,water,ground,107.6,107.6,178,2060545,27,1490,Mud Shot,Mud Bomb,Scald,5,6,1,10000
Mandibuzz,94.2,630,dark,flying,92.3,149.2,176,2424943,27,1497,Snarl,Dark Pulse,Aerial Ace,4,4,5,75000
Scrafty,94.2,560,dark,fighting,110.4,155.4,117,2007526,24.5,1489,Counter,Foul Play,Power-Up Punch,7,5,3,50000
Whiscash,94.2,340,water,ground,107.6,107.6,178,2060545,27,1490,Mud Shot,Mud Bomb,Scald,5,6,1,10000
Gliscor (Shadow),93.8,472,ground,flying,115.7,143.9,116,1930695,21,1496,Wing Attack,Earthquake,Aerial Ace,9,5,5,75000
Runerigus,93.6,867,ground,ghost,112.2,168.3,106,2002086,25,1500,Shadow Claw,Sand Tomb,Shadow Ball,5,7,3,50000
Togedemaru,93.6,777,electric,steel,132.1,105.6,121,1688198,26,1495,Thunder Shock,Fell Stinger,Wild Charge,4,5,3,50000
Pidgeot,93.2,18,normal,flying,117.2,113.8,143,1905836,26,1494,Wing Attack,Feather Dance,Brave Bird,7,7,1,10000
Lanturn,93,171,water,electric,104.8,104.8,194,2131348,27,1496,Spark,Surf,Thunderbolt,6,8,3,50000
Annihilape,92.9,979,fighting,ghost,123.9,106.3,137,1804832,17,1499,Counter,Ice Punch,Shadow Ball,6,8,3,50000
Jellicent,92.9,593,water,ghost,106.7,124.3,157,2082451,24,1490,Hex,Surf,Shadow Ball,4,5,3,50000
Magnezone (Shadow),92.9,462,electric,steel,134.9,120.1,102,1652719,17,1496,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Greninja,92.7,658,water,dark,139.6,101.6,113,1602682,21,1497,Water Shuriken,Hydro Cannon,Night Slash,3,3,3,10000
Kommo-o,92.7,784,dragon,fighting,123.7,138.4,105,1797551,16.5,1497,Dragon Tail,Close Combat,Dragon Claw,5,4,5,75000
Machamp (Shadow),92.4,68,fighting,none,136.4,97.2,124,1644073,17.5,1497,Counter,Cross Chop,Rock Slide,5,7,3,50000
